code	author	latitude	NS	longitude	WE	design	color
3	Dong	32.0596	N	118.805	E	NC	red
4	Cruz	40.564957	N	-105.083977	W	NC	red
5	Pacholski	52.3	N	10.43333333	E	NC	red
8	Meier	36.0017455	N	-79.0249956	W	NC	red
9	lv	44.308302	N	86.006321	E	NC	red
11	Butterly2015	-36.75	S	142.1138889	E	NC	red
14	SUN	32.59	N	119.7	E	NC	red
15	Li	48.4214812	N	-89.2618968	W	NC	red
16	White	38.88333333	N	-76.55	W	NC	red
21	Franzaring	48.2435341	N	8.87694	E	NC	red
22	Zhang	43.63333333	N	116.7	E	NC	red
23	Manderscheid	52.3	N	10.51666667	E	NC	red
27	Fleischmann	48.2211376	N	11.5933875	E	NC	red
28	Deng	23.33333333	N	113.5	E	NC	red
29	ZHAO	47.58333333	N	133.5166667	E	NC	red
31	La	30.27161405	N	120.1924467	E	NC	red
32	ATWELL	-35.25	S	149.43	E	NC	red
33	YANG	31.61666667	N	120.4666667	E	NC	red
34	Watanabe	43.0830139	N	141.2687583	E	NC	red
35	VIZOSO	48.7527229	N	6.3410344	E	NC	red
37	Li	35.46666667	N	104.5833333	E	NC	red
38	Srivastava	34.1454136	N	74.8081141	E	NC	red
41	Kettunen	62.603598	N	29.744203	E	NC	red
43	Li	36.0543288	N	140.0876044	E	NC	red
44	JensenandChristensen	55.46666667	N	9.1	E	NC	red
45	Srivastava&Khanna	34.1454136	N	74.8081141	E	NC	red
46	PAL	28.6373709	N	77.1628793	E	NC	red
47	Li	22.8411383	N	108.2930517	E	NC	red
49	Meier	46.9338988	N	7.4010414	E	NC	red
50	nakamura	43.0742884	N	141.3363537	E	NC	red
51	McKeeandWoodward	51.8777259	N	0.9472069	E	NC	red
52	Booker	35.7846633	N	-78.6820946	W	NC	red
55	Walker	38.7395639	N	-120.7420561	W	NC	red
56	Vose	38.7395639	N	-120.7420561	W	NC	red
57	Lutze	-35.2897996	S	149.091981	E	NC	red
58	Newbery	54.0103942	N	-2.7877294	W	NC	red
59	MartinOlmedo	56.0361218	N	-2.864296	W	NC	red
60	Lutze	-35.2897996	S	149.091981	E	NC	red
61	DengandWoodward	40.00494	N	116.35745	E	NC	red
63	Larigauderie	36.0022339	N	-79.0132276	W	NC	red
64	KimballandJRMauney	33.4042242	N	-112.0372439	W	NC	red
65	Israel	36.0014258	N	-78.9382286	W	NC	red
66	MAILLARD	48.7527229	N	6.3410344	E	NC	red
67	MAROCO	38.6933005	N	-9.3304044	W	NC	red
68	PETTERSSON	59.814947	N	17.6628688	E	NC	red
69	Griffinetal	36.0014258	N	-78.9382286	W	NC	red
70	Harmens	53.2251785	N	-4.2025255	W	NC	red
71	Hattenschwiler	47.559088	N	7.581713	E	NC	red
72	Runionetal	32.5515067	N	-85.6366973	W	NC	red
73	Harmens	53.2295205	N	-4.1299873	W	NC	red
74	GEBAUER	36.0014258	N	-78.9382286	W	NC	red
75	Entry	26.0635303	N	-80.3619252	W	NC	red
76	Soussana	45.77517	N	3.1417863	E	NC	red
77	Taognetti	29.71666667	N	-82.2	W	NC	red
78	Schenk	52.28957	N	10.4465213	E	NC	red
79	Walker	38.7395639	N	-120.7420561	W	NC	red
80	Walkeretal	38.7395639	N	-120.7420561	W	NC	red
81	DYCKMANS	51.5587692	N	9.8863105	E	NC	red
84	BowlerandPress	53.4668498	N	-2.2338837	W	NC	red
91	Markelzetal	40.11461	N	-88.3471495	W	NC	red
92	Rajsnerov¨¢andKlem	57.68333333	N	19.91666667	E	NC	red
94	Bloor2008	48.6976635	N	2.1064443	E	NC	red
95	Johnson	38.7395639	N	-120.7420561	W	NC	red
96	Liu	56.2385278	N	-3.609144	W	NC	red
124	MITCHELL	51.8095745	N	-0.3584865	W	NC	red
125	Matsunami	39.7466977	N	140.9814516	E	NC	red
126	Kim	37.2787794	N	126.95585	E	NC	red
128	Frank	46.8113406	N	-100.9104538	W	NC	red
138	Yan	23.17944444	N	113.3525	E	NC	red
140	Wechsung	33.05	N	-112	W	NC	red
152	Johnsen	45.9977237	N	-77.4277607	W	NC	red
154	Mozdzer	41.4860653	N	-71.5308537	W	NC	red
157	Kitao	42.9944987	N	141.3885523	E	NC	red
159	Watanabe	43	N	141	E	NC	red
164	MCKEE	30.225029	N	-92.1150454	W	NC	red
167	Fangmeier	50.57085	N	8.6685597	E	NC	red
168	Reddy	33.46666667	N	88.78333333	E	NC	red
169	Wolf	51.9845558	N	5.6635809	E	NC	red
171	Imai	35.6972439	N	139.7593459	E	NC	red
173	Daepp	47.448734	N	8.678572	E	NC	red
175	Cure	35.7846637	N	-78.6820946	W	NC	red
176	Kettunen	60.81666667	N	23.5	E	NC	red
177	Farage	51.8777259	N	0.9472071	E	NC	red
178	HAGEDORN	47.3605578	N	8.4524241	E	NC	red
179	KLEEMOLA	60.1726353	N	24.9510419	E	NC	red
6	MEYERGRUeNEFELDT	53.1735668	N	9.8921014	E	ND	blue
7	XXX	53.25	N	9.966666667	E	ND	blue
10	Faustino	-34.9	S	-57.93086389	W	ND	blue
17	XiaobingZhou	44.5	N	87.75	E	ND	blue
62	Liu	42.701848	N	-84.4821719	W	ND	blue
89	Blanchetal2009	41.5026819	N	2.1021331	E	ND	blue
90	Friedrichetal	53.1660865	N	9.9168057	E	ND	blue
139	Wu	31.69	N	103.8994444	E	ND	blue
12	Ye	30.36	N	119.7	E	NR	orange
88	Barker	36.81666667	N	-115.9166667	W	NR	orange
142	Li	42.22027055	N	116.5062761	E	NR	orange
143	Lv	43.63333333	N	116.7	E	NR	orange
146	CabreraBosquet	41.3872139	N	2.1619949	E	NR	orange
162	Verburg	36.81666667	N	-115.9166667	W	NR	orange
20	YanLi	31.68333333	N	103.8833333	E	NW	black
30	Zhao	31.68333333	N	103.8833333	E	NW	black
98	Liu	31.68333333	N	103.8833333	E	NW	black
105	Zhao	31.68333333	N	103.8833333	E	NW	black
106	Zhang	44.75	N	123.75	E	NW	black
108	Yu	30.61611	N	104.02987	E	NW	black
109	Xiong	31.55416667	N	102.3588889	E	NW	black
111	McWhirter	43.02	N	-81.21444444	W	NW	black
119	Zhao	31.68333333	N	103.8833333	E	NW	black
121	Werkman	54.65	N	-2.216666667	W	NW	black
123	xxxxx	40.05	N	-105.5833333	W	NW	black
129	DOrangeville	47.28	N	71.23	E	NW	black
